"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"216",9,"Deshaun Watson",CLE,"0","0","0","0","0","0","0","0","0"
"217",9,"Jack Bech",LV,"32.4","0","0","20","224","0","0","0","0"
"218",9,"Justice Hill",BAL,"54.7","0","0","21","169","1","18","93","2"
"219",9,"Zachariah Branch",ATL,"0","0","0","0","0","0","0","0","0"
"220",9,"Malachi Fields",NYG,"0","0","0","0","0","0","0","0","0"
"221",9,"Demond Claiborne",MIN,"0","0","0","0","0","0","0","0","0"
"222",9,"Antonio Williams",WAS,"0","0","0","0","0","0","0","0","0"
"223",9,"Isaiah Davis",NYJ,"60.7","0","0","21","186","0","43","236","1"
"224",9,"Devaughn Vele",NO,"53.8","0","0","25","293","2","0","0","0"
"225",9,"Tory Horton",SEA,"58.6","0","0","13","161","5","0","0","0"
"226",9,"Samaje Perine",CIN,"69.4","0","0","17","87","0","84","382","3"
"227",9,"Ted Hurst III",TB,"0","0","0","0","0","0","0","0","0"
"228",9,"Chris Bell",MIA,"0","0","0","0","0","0","0","0","0"
"229",9,"Chris Brooks",GB,"26.2","0","0","13","91","0","27","106","0"
"230",9,"Keon Coleman",BUF,"83.4","0","0","38","404","4","0","0","0"
"231",9,"Elic Ayomanor",TEN,"96","0","0","41","515","4","0","0","0"
"232",9,"Shedeur Sanders",CLE,"94.9","1400","7","0","0","0","21","169","1"
"233",9,"Chimere Dike",TEN,"102.1","0","0","48","423","4","11","18","0"
"234",9,"Kaelon Black",SF,"0","0","0","0","0","0","0","0","0"
"235",9,"Najee Harris",NYG,"10.1","0","0","3","25","0","15","61","0"
"236",9,"Jordan James",SF,"0","0","0","0","0","0","0","0","0"
"237",9,"Ty Johnson",BUF,"88.3","0","0","24","263","2","50","200","3"
"238",9,"LeQuint Allen Jr.",JAC,"19.8","0","0","10","54","0","23","94","0"
"239",9,"Ja'Kobi Lane",BAL,"0","0","0","0","0","0","0","0","0"
"240",9,"Mason Taylor",NYJ,"66.9","0","0","44","369","1","0","0","0"
"241",9,"Tyquan Thornton",KC,"71.3","0","0","19","438","3","0","0","0"
"242",9,"Christian Kirk",SF,"43.9","0","0","28","239","1","0","0","0"
"243",9,"DJ Giddens",IND,"9.6","0","0","0","0","0","26","96","0"
"244",9,"Elijah Sarratt",BAL,"0","0","0","0","0","0","0","0","0"
"245",9,"Darius Slayton",NYG,"80.3","0","0","37","538","1","0","0","0"
"246",9,"Xavier Legette",CAR,"71.8","0","0","35","363","3","1","0","0"
"247",9,"Greg Dulcich",MIA,"49.8","0","0","26","335","1","1","-7","0"
"248",9,"Theo Johnson",NYG,"105.3","0","0","45","528","5","0","0","0"
"249",9,"Malik Davis",DAL,"39.6","0","0","2","16","0","52","250","2"
"250",9,"Trey Benson",ARI,"28.9","0","0","13","64","0","29","160","0"
"251",9,"Marvin Mims Jr.",DEN,"74.5","0","0","37","322","1","12","78","1"
"252",9,"Caleb Douglas",MIA,"0","0","0","0","0","0","0","0","0"
"253",9,"Adam Randall",BAL,"0","0","0","0","0","0","0","0","0"
"254",9,"Eli Stowers",PHI,"0","0","0","0","0","0","0","0","0"
"255",9,"Devin Neal",NO,"51.5","0","0","17","104","0","57","206","2"
"256",9,"Kendre Miller",NO,"30.8","0","0","5","30","0","47","193","1"
"257",9,"Seth McGowan",IND,"0","0","0","0","0","0","0","0","0"
"258",9,"Brashard Smith",KC,"50.8","0","0","25","172","1","44","151","0"
"259",9,"Emari Demercado",KC,"51.8","0","0","13","101","1","44","312","0"
"260",9,"Devin Singletary",NYG,"99.8","0","0","18","151","0","119","437","5"
"261",9,"Trevor Etienne",CAR,"10.2","0","0","3","13","0","20","94","0"
"262",9,"Hollywood Brown",PHI,"113.2","0","0","49","587","5","0","0","0"
"263",9,"Kaleb Johnson",PIT,"8.3","0","0","1","9","0","28","69","0"
"264",10,"Mack Hollins",NE,"90.4","0","0","46","550","2","1","4","0"
"265",10,"Tahj Brooks",CIN,"5.9","0","0","1","9","0","16","45","0"
"266",10,"Cyrus Allen",KC,"0","0","0","0","0","0","0","0","0"
"267",10,"Isaac Guerendo",SF,"0","0","0","0","0","0","0","0","0"
"268",10,"Mike Gesicki",CIN,"56.7","0","0","28","307","2","0","0","0"
"269",10,"Kyle Williams",NE,"44.2","0","0","10","209","3","2","3","0"
"270",10,"Jerome Ford",WAS,"30.6","0","0","26","103","0","24","73","0"
"271",10,"Jarquez Hunter",LAR,"0","0","0","0","0","0","0","0","0"
"272",10,"Isaiah Bond",CLE,"45.7","0","0","18","338","0","5","29","0"
"273",10,"Jaleel McLaughlin",DEN,"29.4","0","0","4","27","0","37","187","1"
"274",10,"Audric Estime",NO,"42.1","0","0","12","103","0","46","198","1"
"275",10,"Skyler Bell",BUF,"0","0","0","0","0","0","0","0","0"
"276",10,"Brandon Aiyuk",SF,"0","0","0","0","0","0","0","0","0"
"277",10,"Will Shipley",PHI,"13","0","0","9","56","0","14","49","0"
"278",10,"Jake Tonges",SF,"76.3","0","0","34","293","5","0","0","0"
"279",10,"Tyreek Hill",FA,"43","0","0","21","265","1","0","0","0"
"280",10,"Andrei Iosivas",CIN,"73.4","0","0","33","435","2","3","14","0"
"281",10,"Darnell Washington",PIT,"57.9","0","0","31","364","1","0","0","0"
"282",10,"Oscar Delp",NO,"0","0","0","0","0","0","0","0","0"
"283",10,"Darren Waller",CAR,"76.7","0","0","24","283","6","1","4","0"
"284",10,"Michael Mayer",LV,"56.3","0","0","35","328","1","0","0","0"
