"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"117",9,"Kadarius Toney",FA,"39.5","38","27","169","1","11","31","0"
"118",9,"Tim Patrick",DET,"0","0","0","0","0","0","0","0"
"119",9,"Marquez Valdes-Scantling",BUF,"46","42","21","315","1","0","0","0"
"120",9,"Bo Melton",GB,"37.9","24","16","218","1","3","21","0"
"121",9,"Calvin Austin III",PIT,"44.2","30","17","180","1","11","57","1"
"122",9,"Allen Lazard",NYJ,"48.6","49","23","311","1","0","0","0"
"123",9,"Nelson Agholor",BAL,"79.6","45","35","381","4","0","0","0"
"124",10,"Xavier Gipson",NYJ,"48.2","38","21","229","0","8","68","1"
"125",10,"John Metchie III",HOU,"24.2","30","16","158","0","1","4","0"
"126",10,"Jalen Nailor",MIN,"4.4","6","3","29","0","0","0","0"
"127",10,"Ray-Ray McCloud III",ATL,"22.5","15","12","135","0","3","30","0"
"128",10,"Johnny Wilson",PHI,"0","0","0","0","0","0","0","0"
"129",10,"Justin Watson",KC,"75.5","53","27","460","3","0","0","0"
"130",10,"Skyy Moore",KC,"43.2","38","21","244","1","3","23","0"
"131",10,"Cedrick Wilson Jr.",NO,"58.6","38","22","296","3","0","0","0"
"132",10,"Michael Thomas",FA,"70.3","64","39","448","1","0","0","0"
"133",10,"Parker Washington",JAC,"31.2","21","16","132","2","0","0","0"
"134",10,"JuJu Smith-Schuster",KC,"46.5","47","29","260","1","0","0","0"
"135",10,"Mack Hollins",BUF,"34.1","30","18","251","0","0","0","0"
"136",10,"Olamide Zaccheaus",WAS,"33.4","20","10","164","2","0","0","0"
"137",10,"Brandon Powell",MIN,"52.6","44","29","324","1","5","17","0"
"138",10,"Ryan Flournoy",DAL,"0","0","0","0","0","0","0","0"
"139",10,"Tyquan Thornton",NE,"20.7","23","13","91","0","3","51","0"
"140",10,"Trenton Irwin",CIN,"50.1","32","25","316","1","0","0","0"
"141",10,"KaVontae Turpin",DAL,"53.7","18","12","127","3","11","110","1"
"142",10,"Donovan Peoples-Jones",DET,"22","25","13","155","0","0","0","0"
"143",10,"Jake Bobo",SEA,"47.4","25","19","196","2","1","3","1"
"144",10,"Xavier Hutchinson",HOU,"17.9","19","8","90","0","5","49","0"
"145",10,"Bub Means",NO,"0","0","0","0","0","0","0","0"
"146",10,"Braxton Berrios",MIA,"44.4","33","27","238","1","1","11","0"
"147",10,"Jamison Crowder",WAS,"27.9","20","16","159","1","0","0","0"
"148",10,"Jamari Thrash",CLE,"0","0","0","0","0","0","0","0"
"149",10,"Charlie Jones",CIN,"17.2","9","7","64","0","2","13","0"
"150",10,"Ainias Smith",PHI,"0","0","0","0","0","0","0","0"
"151",10,"Nick Westbrook-Ikhine",TEN,"71","45","28","370","3","0","0","0"
"152",10,"Parris Campbell",PHI,"20.4","27","20","104","0","0","0","0"
"153",10,"Mecole Hardman Jr.",KC,"18.2","24","15","124","0","1","3","0"
"154",10,"Jalen Brooks",DAL,"9.4","6","6","64","0","0","0","0"
"155",10,"Hunter Renfrow",FA,"36","37","25","255","0","0","0","0"
"156",11,"David Bell",CLE,"41.7","23","14","167","3","0","0","0"
"157",11,"Chris Moore",ARI,"57.3","35","22","424","0","2","39","0"
"158",11,"Devaughn Vele",DEN,"0","0","0","0","0","0","0","0"
"159",11,"Casey Washington",ATL,"0","0","0","0","0","0","0","0"
"160",11,"Laviska Shenault Jr.",SEA,"16.5","10","10","60","0","12","55","0"
"161",11,"Derius Davis",LAC,"28.2","17","15","66","0","14","101","0"
"162",11,"Devin Duvernay",JAC,"5.3","9","4","18","0","4","15","0"
"163",11,"KhaDarel Hodge",ATL,"30.2","23","14","232","0","1","0","0"
"164",11,"Anthony Gould",IND,"0","0","0","0","0","0","0","0"
"165",11,"Isaiah Hodgins",NYG,"49.5","33","21","230","3","0","0","0"
"166",11,"Trent Sherfield Sr.",MIN,"20.1","22","11","86","1","0","0","0"
"167",11,"Kayshon Boutte",NE,"2.9","7","2","19","0","0","0","0"
"168",11,"Isaiah McKenzie",NYG,"11.1","14","11","82","0","3","14","0"
"169",11,"Jha'Quan Jackson",TEN,"0","0","0","0","0","0","0","0"
"170",11,"Malik Heath",GB,"26","24","15","125","1","0","0","0"
"171",11,"Scotty Miller",PIT,"33.6","16","11","161","2","0","0","0"
"172",11,"Velus Jones Jr.",CHI,"9.1","7","4","20","0","8","51","0"
"173",11,"Justyn Ross",KC,"8.3","11","6","53","0","0","0","0"
"174",11,"Deonte Harty",BAL,"32.5","21","15","150","1","4","0","0"
"175",11,"Terrace Marshall Jr.",SF,"23.4","33","19","139","0","0","0","0"
"176",11,"Quez Watkins",PIT,"27.7","21","15","142","1","0","0","0"
"177",11,"Allen Robinson II",DET,"45","49","34","280","0","0","0","0"
"178",11,"Jalen Guyton",LV,"19.9","21","10","89","1","0","0","0"
"179",11,"David Moore",CAR,"17.9","7","5","94","1","0","0","0"
"180",11,"Zach Pascal",ARI,"3.9","15","4","19","0","0","0","0"
"181",11,"DJ Turner",LV,"0","0","0","0","0","0","0","0"
"182",11,"Byron Pringle",WAS,"21.1","22","14","161","0","0","0","0"
"183",11,"Rakim Jarrett",TB,"8","9","4","60","0","1","0","0"
"184",11,"Tahj Washington",MIA,"0","0","0","0","0","0","0","0"
"185",11,"DeAndre Carter",CHI,"7.7","7","4","39","0","3","18","0"
"186",11,"Ronnie Bell",SF,"27.8","13","6","68","3","0","0","0"
"187",11,"Tylan Wallace",BAL,"7.6","2","1","11","0","0","0","0"
"188",11,"Jalen Reagor",NE,"25","23","7","138","0","1","17","0"
"189",11,"Sterling Shepard",TB,"15.3","22","10","57","1","1","6","0"
"190",11,"River Cracraft",MIA,"22.6","12","9","121","1","0","0","0"
"191",12,"Simi Fehoko",LAC,"7.4","2","1","9","1","0","0","0"
"192",12,"Xavier Weaver",ARI,"0","0","0","0","0","0","0","0"
"193",12,"Trishton Jackson",MIN,"3.9","4","2","9","0","0","0","0"
"194",12,"Isaiah Williams",DET,"0","0","0","0","0","0","0","0"
"195",12,"Cornelius Johnson",LAC,"0","0","0","0","0","0","0","0"
"196",12,"Mason Tipton",NO,"0","0","0","0","0","0","0","0"
"197",12,"Britain Covey",PHI,"6.2","6","4","42","0","0","0","0"
"198",12,"Jamal Agnew",FA,"33.3","21","14","225","1","4","-2","0"
"199",12,"Ashton Dulin",IND,"0","0","0","0","0","0","0","0"
"200",12,"Chris Conley",SF,"8.4","6","3","69","0","0","0","0"
"201",12,"Tim Jones",JAC,"13.8","18","11","83","0","0","0","0"
"202",12,"Ihmir Smith-Marsette",FA,"28.5","10","8","51","0","8","74","1"
"203",12,"Lil'Jordan Humphrey",DEN,"40.7","19","13","162","3","0","0","0"
"204",12,"Denzel Mims",FA,"0","0","0","0","0","0","0","0"
"205",12,"Equanimeous St. Brown",NO,"8.7","6","5","62","0","0","0","0"
"206",12,"Dee Eskridge",MIA,"0.5","1","0","0","0","2","5","0"
"207",12,"Samori Toure",CHI,"11.8","18","8","78","0","0","0","0"
"208",12,"Brandon Johnson",PIT,"63.9","30","19","284","4","0","0","0"
"209",12,"Kyle Philips",FA,"23.6","22","15","181","0","0","0","0"
"210",12,"Isaiah Williams",FA,"0","0","0","0","0","0","0","0"
"211",12,"Tyler Johnson",LAR,"7.8","3","2","8","1","0","0","0"
"212",12,"Tre'Quan Smith",DET,"0","0","0","0","0","0","0","0"
"213",12,"Irvin Charles",NYJ,"0","1","0","0","0","0","0","0"
"214",12,"Robbie Chosen",MIA,"20.6","6","4","126","1","0","0","0"
"215",12,"Dareke Young",SEA,"0","0","0","0","0","0","0","0"
"216",12,"Grant DuBose",MIA,"0","0","0","0","0","0","0","0"
"217",12,"Jason Brownlee",NYJ,"14.1","8","5","56","1","0","0","0"
"218",12,"Chris Blair",ATL,"0","0","0","0","0","0","0","0"
"219",12,"Daurice Fountain",FA,"0","0","0","0","0","0","0","0"
"220",12,"Jalen Coker",CAR,"0","0","0","0","0","0","0","0"
"221",12,"Gunner Olszewski",NYG,"2.5","1","1","0","0","0","0","0"
"222",12,"Emeka Egbuka",FA,"0","0","0","0","0","0","0","0"
"223",12,"N'Keal Harry",MIN,"0","0","0","0","0","0","0","0"
"224",12,"Bryce Ford-Wheaton",NYG,"0","0","0","0","0","0","0","0"
"225",12,"Miles Boykin",FA,"3.2","4","3","17","0","0","0","0"
"226",12,"Ramel Keyton",LV,"0","0","0","0","0","0","0","0"
"227",12,"Kameron Johnson",TB,"0","0","0","0","0","0","0","0"
"228",12,"Marcus Rosemy-Jacksaint",PHI,"0","0","0","0","0","0","0","0"
"229",12,"KJ Hamler",BUF,"0","0","0","0","0","0","0","0"
"230",12,"Steven Sims Jr.",HOU,"4.1","3","3","25","0","1","1","0"
"231",12,"Antoine Green",FA,"0.7","2","1","2","0","0","0","0"
"232",12,"Lawrence Cager",NYG,"11.6","5","4","36","1","0","0","0"
"233",12,"Keith Kirkwood",BAL,"12.2","9","5","37","1","0","0","0"
"234",12,"Nikko Remigio",KC,"0","0","0","0","0","0","0","0"
"235",12,"Trent Taylor",SF,"-2.2","2","0","0","0","1","-2","0"
"236",12,"Tyrell Shavers",BUF,"0","0","0","0","0","0","0","0"
"237",13,"Joe Parker",FA,"0","0","0","0","0","0","0","0"
"238",13,"Ben Skowronek",PIT,"17.5","12","8","66","1","2","9","0"
"239",13,"John Ross",FA,"0","0","0","0","0","0","0","0"
"240",13,"Richie James Jr.",FA,"14.4","14","10","114","0","0","0","0"
"241",13,"Marquise Goodwin",FA,"12","13","4","67","0","4","33","0"
"242",13,"Russell Gage",FA,"0","0","0","0","0","0","0","0"
"243",13,"Josh Crockett",FA,"0","0","0","0","0","0","0","0"
"244",13,"Tulu Griffin",CLE,"0","0","0","0","0","0","0","0"
"245",13,"Collin Johnson",CHI,"1.6","1","1","11","0","0","0","0"
"246",13,"Dante Pettis",CHI,"0","0","0","0","0","0","0","0"
"247",13,"Marquez Callaway",FA,"0","0","0","0","0","0","0","0"
"248",13,"Jeff Foreman",LV,"0","0","0","0","0","0","0","0"
"249",13,"D.J. Montgomery",IND,"13.1","8","3","56","1","0","0","0"
"250",13,"Tejhaun Palmer",ARI,"0","0","0","0","0","0","0","0"
"251",13,"Elijah Cooks",JAC,"5.3","4","3","38","0","0","0","0"
"252",13,"Justin Shorter",LV,"0","0","0","0","0","0","0","0"
"253",13,"Bisi Johnson",FA,"0","0","0","0","0","0","0","0"
"254",13,"Colton Dowell",TEN,"0.8","2","1","3","0","0","0","0"
"255",13,"Laquon Treadwell",IND,"2.1","3","1","16","0","0","0","0"
"256",13,"Lance McCutcheon",FA,"0","0","0","0","0","0","0","0"
"257",13,"Alex Erickson",FA,"37.2","29","16","232","1","0","0","0"
"258",13,"Devron Harper",FA,"0","0","0","0","0","0","0","0"
"259",13,"Bryan Thompson",FA,"0","0","0","0","0","0","0","0"
"260",13,"Josh Ali",FA,"0","0","0","0","0","0","0","0"
"261",13,"Cody Thompson",TB,"1.5","1","1","10","0","0","0","0"
"262",13,"Ty James",FA,"0","0","0","0","0","0","0","0"
"263",13,"Lynn Bowden Jr.",FA,"17","16","11","83","0","5","32","0"
"264",13,"Juwann Winfree",IND,"0","1","0","0","0","0","0","0"
"265",13,"Austin Trammell",JAC,"2.9","7","4","29","0","0","0","0"
"266",13,"Erik Ezukanma",MIA,"2.2","1","0","0","0","5","22","0"
"267",13,"Deven Thompkins",FA,"26.4","25","17","83","1","8","56","0"
"268",13,"Anthony Schwartz",MIA,"0","0","0","0","0","0","0","0"
"269",13,"Malik Taylor",NYJ,"2.3","4","2","13","0","0","0","0"
