"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","YDS","TDS","REC","YDS","TDS","ATT","YDS","TDS"
"105",7,"Brock Bowers",LV,"0","0","0","0","0","0","0","0","0"
"106",7,"Marquise Brown",KC,"109.2","0","0","51","574","4","2","23","0"
"107",7,"Jerome Ford",CLE,"189.2","0","0","44","319","5","204","813","4"
"108",7,"Jordan Addison",MIN,"186.3","0","0","70","911","10","1","2","0"
"109",7,"Dallas Goedert",PHI,"106.8","0","0","59","592","3","1","1","0"
"110",7,"Jonathon Brooks",CAR,"0","0","0","0","0","0","0","0","0"
"111",7,"Austin Ekeler",WAS,"159.9","0","0","51","436","1","179","628","5"
"112",7,"Gus Edwards",LAC,"181","0","0","12","180","0","198","810","13"
"113",7,"Jameson Williams",DET,"68.3","0","0","24","354","2","3","29","1"
"114",7,"Keon Coleman",BUF,"0","0","0","0","0","0","0","0","0"
"115",7,"Kirk Cousins",ATL,"154.7","2331","18","0","0","0","14","25","0"
"116",7,"Justin Herbert",LAC,"240.7","3134","20","0","0","0","52","228","3"
"117",7,"Joshua Palmer",LAC,"87.7","0","0","38","581","2","1","6","0"
"118",7,"Tyler Lockett",SEA,"162.9","0","0","79","894","5","0","0","0"
"119",7,"Jakobi Meyers",LV,"183.1","0","0","71","807","8","4","24","2"
"120",7,"Ezekiel Elliott",DAL,"149","0","0","51","313","2","184","642","3"
"121",7,"Pat Freiermuth",PIT,"60.8","0","0","32","308","2","0","0","0"
"122",7,"Blake Corum",LAR,"0","0","0","0","0","0","0","0","0"
"123",7,"Matthew Stafford",LAR,"254.1","3965","24","0","0","0","21","65","0"
"124",7,"Romeo Doubs",GB,"144.9","0","0","59","674","8","0","0","0"
"125",7,"Dalton Schultz",HOU,"121","0","0","59","635","5","0","0","0"
"126",7,"Nick Chubb",CLE,"21.1","0","0","4","21","0","28","170","0"
"127",7,"Chuba Hubbard",CAR,"163","0","0","39","233","0","238","902","5"
"128",7,"Khalil Shakir",BUF,"93.6","0","0","39","611","2","1","10","0"
"129",7,"Rashid Shaheed",NO,"132.6","0","0","46","719","5","7","37","0"
"130",8,"Zach Charbonnet",SEA,"89.6","0","0","33","209","0","108","462","1"
"131",8,"Curtis Samuel",BUF,"126.2","0","0","62","613","4","7","39","1"
"132",8,"Trey Benson",ARI,"0","0","0","0","0","0","0","0","0"
"133",8,"Aaron Rodgers",NYJ,"0","0","0","0","0","0","0","0","0"
"134",8,"Brandin Cooks",DAL,"146.2","0","0","54","657","8","5","35","0"
"135",8,"Rico Dowdle",DAL,"83","0","0","17","144","2","89","361","2"
"136",8,"Mike Williams",NYJ,"40.7","0","0","19","249","1","1","3","0"
"137",8,"Jaleel McLaughlin",DEN,"90.5","0","0","31","160","2","76","410","1"
"138",8,"J.K. Dobbins",LAC,"10.7","0","0","2","15","0","8","22","1"
"139",8,"Ty Chandler",MIN,"90.5","0","0","21","159","0","102","461","3"
"140",8,"T.J. Hockenson",MIN,"171.5","0","0","95","960","5","0","0","0"
"141",8,"Geno Smith",SEA,"235.8","3624","20","0","0","0","37","155","1"
"142",8,"Jerry Jeudy",CLE,"114.8","0","0","54","758","2","0","0","0"
"143",8,"Tyler Allgeier",ATL,"128.6","0","0","18","193","1","186","683","4"
"144",8,"Baker Mayfield",TB,"284.1","4044","28","0","0","0","62","163","1"
"145",8,"Deshaun Watson",CLE,"90.8","1115","7","0","0","0","26","142","1"
"146",8,"Josh Downs",IND,"123.1","0","0","68","771","2","0","0","0"
"147",8,"Gabe Davis",JAC,"138.9","0","0","45","746","7","1","-2","0"
"148",8,"Luke Musgrave",GB,"58.2","0","0","34","352","1","0","0","0"
"149",8,"Antonio Gibson",NE,"103.4","0","0","48","389","2","65","265","1"
"150",8,"Dontayvion Wicks",GB,"100.3","0","0","39","581","4","1","1","0"
"151",8,"Hunter Henry",NE,"98.9","0","0","42","419","6","0","0","0"
"152",8,"Will Levis",TEN,"106","1808","8","0","0","0","25","57","1"
"153",8,"Cole Kmet",CHI,"144.6","0","0","73","719","6","3","2","0"
"154",8,"Adonai Mitchell",IND,"0","0","0","0","0","0","0","0","0"
"155",8,"Darnell Mooney",ATL,"63.4","0","0","31","414","1","2","5","0"
"156",8,"MarShawn Lloyd",GB,"0","0","0","0","0","0","0","0","0"
"157",8,"Ray Davis",BUF,"0","0","0","0","0","0","0","0","0"
"158",8,"Adam Thielen",CAR,"179.5","0","0","103","1014","4","1","6","0"
"159",8,"DeMario Douglas",NE,"82.7","0","0","49","561","0","8","41","0"
"160",8,"Ja'Lynn Polk",NE,"0","0","0","0","0","0","0","0","0"
"161",8,"Taysom Hill",NO,"127","0","0","33","291","2","81","401","4"
"162",8,"Tyler Conklin",NYJ,"92.6","0","0","61","621","0","1","0","0"
"163",8,"Michael Wilson",ARI,"95.5","0","0","38","565","3","0","0","0"
"164",8,"Jaylen Wright",MIA,"0","0","0","0","0","0","0","0","0"
"165",8,"Khalil Herbert",CHI,"102.5","0","0","20","134","1","132","611","2"
"166",8,"Cade Otton",TB,"93","0","0","47","455","4","0","0","0"
"167",8,"Rashod Bateman",BAL,"60.5","0","0","32","367","1","1","18","0"
"168",8,"Bucky Irving",TB,"0","0","0","0","0","0","0","0","0"
"169",9,"Daniel Jones",NYG,"63","909","2","0","0","0","40","206","1"
"170",9,"Noah Fant",SEA,"57.4","0","0","32","414","0","0","0","0"
"171",9,"Braelon Allen",NYJ,"0","0","0","0","0","0","0","0","0"
"172",9,"Xavier Legette",CAR,"0","0","0","0","0","0","0","0","0"
"173",9,"Wan'Dale Robinson",NYG,"103.2","0","0","60","525","1","9","87","1"
"174",9,"Bryce Young",CAR,"166.4","2877","11","0","0","0","39","253","0"
"175",9,"Isaiah Likely",BAL,"86.1","0","0","30","411","5","0","0","0"
"176",9,"Sam Darnold",MIN,"24.4","297","2","0","0","0","21","15","1"
"177",9,"Juwan Johnson",NO,"79.3","0","0","37","368","4","0","0","0"
"178",9,"Jordan Mason",SF,"43.2","0","0","3","31","0","40","206","3"
"179",9,"Jahan Dotson",PHI,"100.3","0","0","49","518","4","0","0","0"
"180",9,"Bo Nix",DEN,"0","0","0","0","0","0","0","0","0"
"181",9,"Derek Carr",NO,"249.1","3878","25","0","0","0","32","40","0"
"182",9,"Marvin Mims Jr.",DEN,"59.7","0","0","22","377","1","9","30","0"
"183",9,"Demarcus Robinson",LAR,"74.4","0","0","26","371","4","1","23","0"
"184",9,"Roschon Johnson",CHI,"85.1","0","0","34","209","0","81","352","2"
"185",9,"Baltimore Ravens",BAL,"174","0","0","0","0","0","0","0","0"
"186",9,"San Francisco 49ers",SF,"141","0","0","0","0","0","0","0","0"
"187",9,"New York Jets",NYJ,"154","0","0","0","0","0","0","0","0"
"188",9,"Tank Bigsby",JAC,"22.3","0","0","1","6","0","50","132","2"
"189",9,"Audric Estime",DEN,"0","0","0","0","0","0","0","0","0"
"190",9,"Dallas Cowboys",DAL,"178","0","0","0","0","0","0","0","0"
"191",9,"Cleveland Browns",CLE,"153","0","0","0","0","0","0","0","0"
"192",9,"Ricky Pearsall",SF,"0","0","0","0","0","0","0","0","0"
"193",9,"Jalen McMillan",TB,"0","0","0","0","0","0","0","0","0"
"194",9,"Russell Wilson",PIT,"264.9","3070","26","0","0","0","80","341","3"
"195",9,"Kimani Vidal",LAC,"0","0","0","0","0","0","0","0","0"
"196",9,"Kansas City Chiefs",KC,"134","0","0","0","0","0","0","0","0"
"197",9,"Pittsburgh Steelers",PIT,"143","0","0","0","0","0","0","0","0"
"198",9,"Chigoziem Okonkwo",TEN,"86.4","0","0","54","528","1","2","6","0"
"199",9,"Justin Tucker",BAL,"160","0","0","0","0","0","0","0","0"
"200",9,"Alexander Mattison",LV,"118.2","0","0","30","192","3","180","700","0"
"201",9,"Justice Hill",BAL,"95.3","0","0","28","206","1","84","387","3"
"202",9,"Tyrone Tracy Jr.",NYG,"0","0","0","0","0","0","0","0","0"
"203",9,"Tyler Boyd",TEN,"112.3","0","0","67","667","2","2","11","0"
"204",9,"Brandon Aubrey",DAL,"181","0","0","0","0","0","0","0","0"
"205",9,"Philadelphia Eagles",PHI,"101","0","0","0","0","0","0","0","0"
"206",9,"Harrison Butker",KC,"154","0","0","0","0","0","0","0","0"
"207",9,"Buffalo Bills",BUF,"159","0","0","0","0","0","0","0","0"
"208",9,"Quentin Johnston",LAC,"75","0","0","38","431","2","3","9","0"
"209",9,"Roman Wilson",PIT,"0","0","0","0","0","0","0","0","0"
"210",9,"Jason Sanders",MIA,"146","0","0","0","0","0","0","0","0"
"211",10,"Darius Slayton",NYG,"126","0","0","50","770","4","0","0","0"
"212",10,"Jermaine Burton",CIN,"0","0","0","0","0","0","0","0","0"
"213",10,"Jalin Hyatt",NYG,"48.8","0","0","23","373","0","0","0","0"
"214",10,"Tucker Kraft",GB,"63","0","0","31","355","2","0","0","0"
"215",10,"Ben Sinnott",WAS,"0","0","0","0","0","0","0","0","0"
"216",10,"Jake Elliott",PHI,"156","0","0","0","0","0","0","0","0"
"217",10,"Jake Moody",SF,"131","0","0","0","0","0","0","0","0"
"218",10,"Ka'imi Fairbairn",HOU,"114","0","0","0","0","0","0","0","0"
"219",10,"Houston Texans",HOU,"131","0","0","0","0","0","0","0","0"
"220",10,"Andrei Iosivas",CIN,"43.1","0","0","15","116","4","0","0","0"
"221",10,"Tyler Bass",BUF,"133","0","0","0","0","0","0","0","0"
"222",10,"Younghoe Koo",ATL,"138","0","0","0","0","0","0","0","0"
"223",10,"Dameon Pierce",HOU,"76.2","0","0","13","101","0","145","416","2"
"224",10,"Drake Maye",NE,"0","0","0","0","0","0","0","0","0"
"225",10,"Miami Dolphins",MIA,"152","0","0","0","0","0","0","0","0"
"226",10,"Elijah Moore",CLE,"102.6","0","0","59","640","2","9","11","0"
"227",10,"Mike Gesicki",CIN,"50.9","0","0","29","244","2","0","0","0"
"228",10,"New Orleans Saints",NO,"143","0","0","0","0","0","0","0","0"
"229",10,"Kenneth Gainwell",PHI,"82.4","0","0","30","183","0","84","364","2"
"230",10,"Evan McPherson",CIN,"140","0","0","0","0","0","0","0","0"
